province,avg_rent,cpi_index,rent_norm,cpi_norm,score,rank
Western Cape,10118,102.5,1.1780183956223076,1.0019550342130987,1.107593051058624,1
Northern Cape,9409,102.6,1.0954709512166725,1.002932551319648,1.0584555912578628,2
Gauteng,8846,102.3,1.0299219932471766,1.0,1.017953195948306,3
KwaZulu-Natal,8755,102.2,1.0193270462219117,0.9990224828934506,1.0112052208905273,4
Mpumalanga,8423,102.1,0.9806729537780883,0.9980449657869013,0.9876217585816134,5
Limpopo,7919,102.6,0.9219932471766212,1.002932551319648,0.9543689688338319,6
Eastern Cape,7018,102.3,0.8170916288275701,1.0,0.890254977296542,7
Free State,6969,102.0,0.8113866573524275,0.9970674486803519,0.8856589738835974,8
